ID,型号,品牌,所在地,类别,市场层级,价格状态,价格说明,官网,采购动作,核验备注,来源ID
franka-panda,Franka Emika Panda,Franka Robotics,德国/组合方案,机械臂,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://franka.de/,先确认是否仍可供货，再索取配置报价,Franka 当前官网主推 Research 3；Panda 作为历史科研生态型号可确认，但新采购需确认可供货、维保和替代型号。,SRC044;SRCV9004
elite-ec612,Elite Robots EC612,艾利特机器人,苏州,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.elibot.cn/,索取教育/科研正式报价、交付周期、维保和培训条款,Elite Robots EC 系列型号和负载分档已由产品资料确认；部分 reach 需型号页规格书复核。,SRC026;SRCV5004
elite-ec616,Elite Robots EC616,艾利特机器人,苏州,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.elibot.cn/,索取教育/科研正式报价、交付周期、维保和培训条款,Elite Robots EC 系列型号和负载分档已由产品资料确认；部分 reach 需型号页规格书复核。,SRC026;SRCV5004
elite-ec63,Elite Robots EC63,艾利特机器人,苏州,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.elibot.cn/,索取教育/科研正式报价、交付周期、维保和培训条款,Elite Robots EC 系列型号和负载分档已由产品资料确认；部分 reach 需型号页规格书复核。,SRC026;SRCV5004
aubo-i10,AUBO i10,遨博,北京,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.aubo-robotics.cn/,索取教育/科研正式报价、交付周期、维保和培训条款,AUBO 官方产品资料确认 i 系列负载分档、开放 SDK 和 ROS 集成口径；部分型号臂展需规格书细化。,SRC025;SRCV5002
aubo-i12,AUBO i12,遨博,北京,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.aubo-robotics.cn/,索取教育/科研正式报价、交付周期、维保和培训条款,AUBO 官方产品资料确认 i 系列负载分档、开放 SDK 和 ROS 集成口径；部分型号臂展需规格书细化。,SRC025;SRCV5002
aubo-i3,AUBO i3,遨博,北京,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.aubo-robotics.cn/,索取教育/科研正式报价、交付周期、维保和培训条款,AUBO 官方产品资料确认 i 系列负载分档、开放 SDK 和 ROS 集成口径；部分型号臂展需规格书细化。,SRC025;SRCV5002
aubo-i7,AUBO i7,遨博,北京,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.aubo-cobot.com/products/aubo-i7,索取教育/科研正式报价、交付周期、维保和培训条款,AUBO 官方产品页确认 i7 型号、7 kg 负载、约 917 mm 工作半径、±0.02 mm 重复定位精度和软件生态；价格需厂商正式报价。,SRC025;SRCV9001
techman-tm12,Techman TM12,达明机器人,中国台湾,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.tm-robot.com/en/products/tm12/,索取教育/科研正式报价、交付周期、维保和培训条款,Techman 官方规格资料确认 TM5/TM12 负载、臂展、TMflow、SDK 与 ROS 驱动口径。,SRCV3022;SRCV4001;SRCV7005
techman-tm5-700,Techman TM5-700,达明机器人,中国台湾,机械臂,重点候选,厂商正式报价项,厂商正式报价,https://www.tm-robot.com/en/products/tm5-700/,索取教育/科研正式报价、交付周期、维保和培训条款,Techman 官方规格资料确认 TM5/TM12 负载、臂展、TMflow、SDK 与 ROS 驱动口径。,SRCV3021;SRCV4001;SRCV7005
