id,title,type,confidence,url,notes
SRC001,宇树 Go2 中文官方页,中文官网/官方价格,high,https://www.unitree.com/cn/go2/,官方页可见 Go2 起售价 9997 元，续航约 2-4 h 等信息。
SRC002,宇树 G1 中文官方页,中文官网/官方价格,high,https://www.unitree.com/cn/g1/,官方页可见 G1 起售价 8.5 万元、23-43 自由度、约 2 h 续航等信息。
SRC003,宇树 R1 中文官方页,中文官网/官方价格,high,https://www.unitree.com/cn/R1,官方页可见 R1 Air 售价 2.99 万元起、20-26 自由度、约 1 h 续航等信息。
SRC004,宇树 R1-D 中文官方页,中文官网/官方价格,high,https://www.unitree.com/cn/R1-D,官方页可见 R1-D 起售价 2.69 万元及双臂机器人定位。
SRC005,宇树 H1 中文官方页,中文官网,high,https://www.unitree.com/cn/h1/,官方页披露 H1 自由度、动力系统、864 Wh 电池等参数，价格需厂商正式报价。
SRC006,宇树 B2 中文官方页,中文官网,high,https://www.unitree.com/cn/b2/,官方页说明 B2 工业四足机器人速度 6 m/s、持续负载 40 kg、续航 5 h 等。
SRC007,宇树 A2 中文官方页,中文官网,high,https://www.unitree.com/cn/A2,官方页说明 A2 约 42 kg、满载持续行走 3 h、空载 5 h、开放平台开发。
SRC008,宇树 Z1 中文官方页,中文官网,high,https://www.unitree.com/cn/z1/,官方页披露 Z1/Z1 Pro 6 轴、自重等信息，价格需厂商正式报价。
SRC009,Unitree SDK2 GitHub,GitHub/SDK,medium,https://github.com/unitreerobotics/unitree_sdk2,宇树官方 SDK2，用于科研二次开发和控制接口判断。
SRC010,Unitree ROS2 GitHub,GitHub/ROS,medium,https://github.com/unitreerobotics/unitree_ros2,宇树官方 ROS2 相关仓库，用于判断 ROS2 生态。
SRC011,云深处 Lite3 中文官方页,中文官网/官方价格,high,https://www.deeprobotics.cn/robot/index/product2.html,官网页面含 Lite3 售价 16900 起、最大负载 10 kg、最高速度 3.3 m/s 等信息。
SRC012,云深处 X30 中文官方页,中文官网,high,https://www.deeprobotics.cn/robot/index/product1.html,官网页面含绝影 X30 系列持续行走负载、续航等参数，价格需厂商正式报价。
SRC013,云深处 X20 中文官方页,中文官网,high,https://www.deeprobotics.cn/robot/index/product3.html,官网页面介绍绝影 X20 行业四足机器人、快速换电与行业应用能力。
SRC014,云深处山猫 M20 中文官方页,中文官网,high,https://www.deeprobotics.cn/robot/index/lynx.html,官网页面介绍轮足形态、速度和行业应用场景。
SRC015,云深处购买咨询页,采购渠道,medium,https://www.deeprobotics.cn/robot/index/buy.html,云深处官网采购咨询入口，未公开价格型号按正式报价处理。
SRC016,小米 CyberDog 2 官方页,中文官网/官方价格,medium,https://www.mi.com/cyberdog-2,小米四足机器人官方产品入口；价格和在售状态需以页面访问时为准。
SRC017,逐际动力 LimX Dynamics 官方站,中文官网,medium,https://www.limxdynamics.com/,逐际动力轮足/足式平台官方入口，适合补充高校科研足式平台。
SRC018,UFACTORY xArm 官方产品页,官网,high,https://www.ufactory.cc/xarm-collaborative-robot/,xArm 协作机械臂官方产品页，含 xArm 5/6/7 系列参数。
SRC019,UFACTORY 官方商店,官方价格,medium,https://store.ufactory.cc/,官方商店可见部分 xArm 套装美元价；人民币为按访问日汇率估算。
